id,compound_name,adduct,score,precursor_mz,ion_mobility,ccs,rt,mol_formula,smiles,inchi,inchi_key,method
1,Marazano_skeleton_40eV M+H,[M+H]+,0.275,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
2,Marazano_skeleton_40eV M+H,[M+H]+,0.130,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
3,Marazano_skeleton_40eV M+H,[M+H]+,0.448,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
4,Marazano_skeleton_40eV M+H,[M+H]+,0.428,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
5,Marazano_skeleton_40eV M+H,[M+H]+,0.729,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
6,Marazano_skeleton_40eV M+H,[M+H]+,0.607,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
7,Marazano_skeleton_40eV M+H,[M+H]+,0.459,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
8,Marazano_skeleton_40eV M+H,[M+H]+,0.453,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
9,Marazano_skeleton_40eV M+H,[M+H]+,0.278,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
10,Marazano_skeleton_40eV M+H,[M+H]+,0.472,389.389,,,,,CCCCN1[C@H]2C(C3)C(N(C[C@@]3(CCCC)C41)CCCC)C4(CCCC)CC2,"InChI=1S/C26H48N2/c1-5-9-14-25-19-21-22-13-16-26(15-10-6-2,24(25)28(22)18-12-8-4)23(21)27(20-25)17-11-7-3/h21-24H,5-20H2,1-4H3/t21-,22-,23?,24?,25+,26?/m1/s1",,spectral_library_annotation
