row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,9.mzXML Peak area,15.mzXML Peak area,6.mzXML Peak area,16.mzXML Peak area,14.mzXML Peak area,10.mzXML Peak area,5.mzXML Peak area,7.mzXML Peak area,3.mzXML Peak area,2.mzXML Peak area,11.mzXML Peak area,4.mzXML Peak area,13.mzXML Peak area,12.mzXML Peak area,8.mzXML Peak area,1.mzXML Peak area,24.mzXML Peak area,28.mzXML Peak area,17.mzXML Peak area,29.mzXML Peak area,18.mzXML Peak area,19.mzXML Peak area,32.mzXML Peak area,23.mzXML Peak area,27.mzXML Peak area,22.mzXML Peak area,25.mzXML Peak area,21.mzXML Peak area,26.mzXML Peak area,30.mzXML Peak area,31.mzXML Peak area,20.mzXML Peak area,37.mzXML Peak area,38.mzXML Peak area,40.mzXML Peak area,33.mzXML Peak area,47.mzXML Peak area,43.mzXML Peak area,39.mzXML Peak area,36.mzXML Peak area,35.mzXML Peak area,42.mzXML Peak area,34.mzXML Peak area,44.mzXML Peak area,45.mzXML Peak area,41.mzXML Peak area,48.mzXML Peak area,46.mzXML Peak area,51.mzXML Peak area,49.mzXML Peak area,62.mzXML Peak area,56.mzXML Peak area,52.mzXML Peak area,60.mzXML Peak area,61.mzXML Peak area,57.mzXML Peak area,54.mzXML Peak area,64.mzXML Peak area,63.mzXML Peak area,59.mzXML Peak area,58.mzXML Peak area,50.mzXML Peak area,53.mzXML Peak area,55.mzXML Peak area,81.mzXML Peak area,70.mzXML Peak area,74.mzXML Peak area,77.mzXML Peak area,69.mzXML Peak area,73.mzXML Peak area,65.mzXML Peak area,82.mzXML Peak area,67.mzXML Peak area,78.mzXML Peak area,66.mzXML Peak area,79.mzXML Peak area,68.mzXML Peak area,76.mzXML Peak area,71.mzXML Peak area,75.mzXML Peak area,87.mzXML Peak area,88.mzXML Peak area,93.mzXML Peak area,95.mzXML Peak area,86.mzXML Peak area,92.mzXML Peak area,72.mzXML Peak area,90.mzXML Peak area,83.mzXML Peak area,96.mzXML Peak area,91.mzXML Peak area,85.mzXML Peak area,94.mzXML Peak area,80.mzXML Peak area,89.mzXML Peak area,84.mzXML Peak area,
1,389.38824366534357,3.1369667,,,,,,,,,,,0,0,0,0,0,0,0,0,153.58975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,389.38944410024226,3.1280832,,,,,,,,,,,0,0,0,0,0,0,0,0,0,82.724945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,389.389873430552,3.15155,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,37.601105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,389.39005283603973,3.1393166,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,52.898964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,389.388642672697,3.12535,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.35681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,389.38862503921547,3.1407166,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.54055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,389.3887266146902,3.1370168,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.92224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,389.38879793107867,3.13695,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.82062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,389.38886113994135,3.1394167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.48755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,389.3890077587022,3.1393,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049.8296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
